[20/02/2007 16:02:52] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[20/02/2007 16:04:48] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[20/02/2007 16:05:30] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[20/02/2007 16:05:58] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[20/02/2007 16:08:04] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[20/02/2007 16:08:57] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[20/02/2007 16:09:14] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[20/02/2007 16:10:19] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[20/02/2007 16:10:33] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[20/02/2007 16:18:53] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[22/02/2007 08:40:15] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
