[06/01/2009 23:38:36]read from server? True, running local? False, cache is null? True
[06/01/2009 23:38:36]Reading entities from server (Type: region, Filter: (), Timestamp 0)...
[06/01/2009 23:39:06]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:06]Reading entities from server (Type: season, Filter: (), Timestamp 0)...
[06/01/2009 23:39:06]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:06]Reading entities from server (Type: championship, Filter: (1 = 60, 3 = 2, 5 = 0, 6 != 0), Timestamp 0)...
[06/01/2009 23:39:06]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:06]Reading entities from server (Type: sport, Filter: (), Timestamp 0)...
[06/01/2009 23:39:06]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:06]Reading entities from server (Type: championshipcategory, Filter: (0 = 641), Timestamp 0)...
[06/01/2009 23:39:06]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:06]Reading entities from server (Type: championshipcategory, Filter: (0 = 639), Timestamp 0)...
[06/01/2009 23:39:07]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:07]Reading entities from server (Type: championshipcategory, Filter: (0 = 646), Timestamp 0)...
[06/01/2009 23:39:07]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:07]Reading entities from server (Type: championshipcategory, Filter: (0 = 668), Timestamp 0)...
[06/01/2009 23:39:07]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:07]Reading entities from server (Type: championshipcategory, Filter: (0 = 636), Timestamp 0)...
[06/01/2009 23:39:07]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:07]Reading entities from server (Type: championshipcategory, Filter: (0 = 644), Timestamp 0)...
[06/01/2009 23:39:57]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:57]Reading entities from server (Type: season, Filter: (), Timestamp 5765611)...
[06/01/2009 23:39:57]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:57]Reading entities from server (Type: championship, Filter: (1 = 60, 3 = 2, 5 = 0, 6 != 0), Timestamp 6058621)...
[06/01/2009 23:39:57]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:57]Reading entities from server (Type: championshipcategory, Filter: (0 = 641), Timestamp 6123716)...
[06/01/2009 23:39:57]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:57]Reading entities from server (Type: championshipcategory, Filter: (0 = 639), Timestamp 6123470)...
[06/01/2009 23:39:57]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:57]Reading entities from server (Type: championshipcategory, Filter: (0 = 646), Timestamp 5711635)...
[06/01/2009 23:39:57]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:57]Reading entities from server (Type: championshipcategory, Filter: (0 = 668), Timestamp 5711625)...
[06/01/2009 23:39:58]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:58]Reading entities from server (Type: championshipcategory, Filter: (0 = 636), Timestamp 5737164)...
[06/01/2009 23:39:58]read from server? True, running local? False, cache is null? True
[06/01/2009 23:39:58]Reading entities from server (Type: championshipcategory, Filter: (0 = 644), Timestamp 5873389)...
[06/01/2009 23:53:18]read from server? True, running local? False, cache is null? True
[06/01/2009 23:53:18]Reading entities from server (Type: season, Filter: (), Timestamp 5765611)...
[06/01/2009 23:53:19]read from server? True, running local? False, cache is null? True
[06/01/2009 23:53:19]Reading entities from server (Type: championship, Filter: (1 = 60, 3 = 2, 5 = 0, 6 != 0), Timestamp 6058621)...
[06/01/2009 23:53:19]read from server? True, running local? False, cache is null? True
[06/01/2009 23:53:19]Reading entities from server (Type: championshipcategory, Filter: (0 = 641), Timestamp 6123716)...
[06/01/2009 23:53:19]read from server? True, running local? False, cache is null? True
[06/01/2009 23:53:19]Reading entities from server (Type: championshipcategory, Filter: (0 = 639), Timestamp 6123470)...
[06/01/2009 23:53:19]read from server? True, running local? False, cache is null? True
[06/01/2009 23:53:19]Reading entities from server (Type: championshipcategory, Filter: (0 = 646), Timestamp 5711635)...
[06/01/2009 23:53:19]read from server? True, running local? False, cache is null? True
[06/01/2009 23:53:19]Reading entities from server (Type: championshipcategory, Filter: (0 = 668), Timestamp 5711625)...
[06/01/2009 23:53:19]read from server? True, running local? False, cache is null? True
[06/01/2009 23:53:19]Reading entities from server (Type: championshipcategory, Filter: (0 = 636), Timestamp 5737164)...
[06/01/2009 23:53:19]read from server? True, running local? False, cache is null? True
[06/01/2009 23:53:19]Reading entities from server (Type: championshipcategory, Filter: (0 = 644), Timestamp 5873389)...
